ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-08-03 02:20:00,421260,4,580,W,ML,1.129,20,100,26.0,0.0078,67.0,10,7.0,0.0034,71.4,1,10.0,19.0,0.0122,65.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:25:00,421258,4,580,W,ML,1.055,20,100,19.0,0.0068,66.5,10,6.0,0.0024,71.2,1,10.0,13.0,0.0112,64.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:25:00,421260,4,580,W,ML,1.129,20,100,8.0,0.0024,66.9,10,2.0,0.0011,71.3,1,10.0,6.0,0.0038,65.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:30:00,421258,4,580,W,ML,1.055,20,100,10.0,0.0049,67.7,10,5.0,0.0021,71.2,1,10.0,5.0,0.0078,64.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:30:00,421260,4,580,W,ML,1.129,20,100,14.0,0.0049,66.9,10,4.0,0.0022,71.2,1,10.0,10.0,0.0075,65.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:35:00,421258,4,580,W,ML,1.055,20,100,15.0,0.0072,66.5,10,5.0,0.0021,71.2,1,10.0,10.0,0.0122,64.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:35:00,421260,4,580,W,ML,1.129,20,100,15.0,0.0053,66.7,10,4.0,0.0021,71.2,1,10.0,11.0,0.0085,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:40:00,421258,4,580,W,ML,1.055,20,100,6.0,0.005,63.6,10,0.0,0.0,71.2,1,10.0,6.0,0.0099,63.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:40:00,421260,4,580,W,ML,1.129,20,100,10.0,0.004,66.0,10,2.0,0.001,71.3,1,10.0,8.0,0.007,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:45:00,421258,4,580,W,ML,1.055,20,100,11.0,0.0036,66.7,10,3.0,0.0012,71.2,1,10.0,8.0,0.006,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:45:00,421260,4,580,W,ML,1.129,20,100,12.0,0.0033,67.7,10,5.0,0.0023,71.4,1,10.0,7.0,0.0043,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:50:00,421258,4,580,W,ML,1.055,20,100,10.0,0.0028,67.4,10,3.0,0.0012,71.2,1,10.0,7.0,0.0044,65.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:50:00,421260,4,580,W,ML,1.129,19,100,17.0,0.0047,67.8,10,7.0,0.0036,71.3,1,9.0,10.0,0.0058,65.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:55:00,421258,4,580,W,ML,1.055,20,100,22.0,0.0082,67.8,10,7.0,0.0029,71.2,1,10.0,15.0,0.0135,66.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:55:00,421260,4,580,W,ML,1.129,20,100,16.0,0.0064,66.7,10,5.0,0.0024,71.4,1,10.0,11.0,0.0104,64.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:00:00,421258,4,580,W,ML,1.055,20,100,10.0,0.0049,66.6,10,2.0,0.0009,71.1,1,10.0,8.0,0.009,65.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:00:00,421260,4,580,W,ML,1.129,20,100,11.0,0.0034,66.7,10,3.0,0.0014,71.4,1,10.0,8.0,0.0054,64.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:05:00,421258,4,580,W,ML,1.055,20,100,12.0,0.0069,66.5,10,4.0,0.0017,71.1,1,10.0,8.0,0.0121,64.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:05:00,421260,4,580,W,ML,1.129,20,100,14.0,0.0062,65.2,10,2.0,0.001,71.3,1,10.0,12.0,0.0114,64.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:10:00,421258,4,580,W,ML,1.055,20,100,14.0,0.0079,64.3,10,0.0,0.0,71.1,1,10.0,14.0,0.0158,64.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:10:00,421260,4,580,W,ML,1.129,20,100,12.0,0.0037,65.9,10,2.0,0.0008,71.5,1,10.0,10.0,0.0065,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:15:00,421258,4,580,W,ML,1.055,20,100,8.0,0.0026,66.1,10,1.0,0.0004,71.2,1,10.0,7.0,0.0047,65.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:15:00,421260,4,580,W,ML,1.129,20,100,10.0,0.0031,67.5,10,4.0,0.0022,71.3,1,10.0,6.0,0.004,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:20:00,421258,4,580,W,ML,1.055,20,100,16.0,0.0078,67.0,10,6.0,0.0023,71.3,1,10.0,10.0,0.0133,64.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:20:00,421260,4,580,W,ML,1.129,20,100,21.0,0.0063,67.3,10,7.0,0.0037,71.2,1,10.0,14.0,0.009,65.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:25:00,421258,4,580,W,ML,1.055,20,100,11.0,0.0051,66.4,10,3.0,0.0012,71.3,1,10.0,8.0,0.009,64.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:25:00,421260,4,580,W,ML,1.129,20,100,18.0,0.0057,66.9,10,5.0,0.0023,71.3,1,10.0,13.0,0.0092,65.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 03:30:00,421258,4,580,W,ML,1.055,20,100,22.0,0.008,67.4,10,6.0,0.0024,71.3,1,10.0,16.0,0.0137,66.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
