ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-01-06 01:10:00,421238,4,580,E,ML,3.005,30,67,47.0,0.0147,63.1,10,1.0,0.0006,71.8,1,10.0,12.0,0.0104,68.9,1,10.0,34.0,0.033,60.8,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:15:00,421237,4,580,E,ML,1.513,30,67,36.0,0.0117,62.6,10,1.0,0.0007,71.8,1,10.0,5.0,0.0047,69.1,1,10.0,30.0,0.0298,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:15:00,421238,4,580,E,ML,3.005,30,67,42.0,0.0119,63.5,10,3.0,0.0016,71.8,1,10.0,8.0,0.0049,69.3,1,10.0,31.0,0.0292,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:20:00,421237,4,580,E,ML,1.513,30,67,51.0,0.0179,63.9,10,6.0,0.0059,71.2,1,10.0,11.0,0.0131,68.7,1,10.0,34.0,0.0347,61.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:20:00,421238,4,580,E,ML,3.005,30,67,46.0,0.0138,63.6,10,2.0,0.0015,71.6,1,10.0,11.0,0.0078,69.2,1,10.0,33.0,0.032,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:25:00,421237,4,580,E,ML,1.513,30,67,50.0,0.016,63.8,10,2.0,0.0012,71.6,1,10.0,13.0,0.0125,69.4,1,10.0,35.0,0.0342,61.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:25:00,421238,4,580,E,ML,3.005,30,67,51.0,0.0146,64.0,10,4.0,0.0023,71.6,1,10.0,13.0,0.0092,69.1,1,10.0,34.0,0.0322,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:30:00,421237,4,580,E,ML,1.513,30,67,46.0,0.0185,61.9,10,2.0,0.0011,71.8,1,10.0,10.0,0.0174,66.2,1,10.0,34.0,0.0369,60.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:30:00,421238,4,580,E,ML,3.005,30,67,50.0,0.0146,63.5,10,1.0,0.0004,71.9,1,10.0,14.0,0.01,69.0,1,10.0,35.0,0.0334,61.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:35:00,421237,4,580,E,ML,1.513,30,67,44.0,0.0146,62.6,10,1.0,0.0007,71.7,1,10.0,10.0,0.0105,67.8,1,10.0,33.0,0.0326,60.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
